,model_combo,r_score,r_squared,mean_squared
0,10%_mix_up,0.9996533194556936,0.999306759098787,2.25
1,10%_nn_no,0.995418074407504,0.9908571428571431,7.5
2,10%_combined,0.9995222331911713,0.9990446946434662,8.75
3,10%_mix_rand,0.9844951849708404,0.9692307692307693,15.0
4,10%_rf_up,0.9148074042510735,0.836872586872587,29.666666666666668
5,10%_rf_no,,,41.0
6,10%_nn_rand,0.9778875817396971,0.9562641225207129,57.333333333333336
7,10%_mix_no,0.9299335128403499,0.8647763383035931,62.25
8,10%_log_no,0.7656993556298657,0.5862955032119915,69.25
9,10%_knn_rand,0.8899883189799697,0.7920792079207922,70.5
10,10%_log_rand,0.8689266695452383,0.7550335570469798,93.8
11,10%_rf_rand,-0.2116036847575795,0.044776119402985086,106.0
12,10%_knn_no,0.5335705285122082,0.2846975088967972,107.5
13,10%_mlp_no,0.6154413221175971,0.37876802096985585,182.8
14,10%_knn_up,0.954095793453844,0.9102987830863202,194.5
15,10%_nn_up,0.7277534366870121,0.5296250646097569,239.83333333333334
16,10%_log_up,0.7019042823262323,0.49266962154790317,341.1666666666667
17,10%_mlp_rand,0.5723638070321424,0.32760032760032753,483.42857142857144
18,10%_mlp_up,-0.11872462429281076,0.014095536413469072,805.2857142857143
