,model_combo,r_score,r_squared,mean_squared
0,10%_combined,0.990513059862785,0.9811161217587372,18.6
1,10%_mix_no,0.9715415405637584,0.9438929650410011,39.0
2,10%_nn_rand,0.9680176714042312,0.9370582121508702,62.375
3,10%_mix_rand,0.9336493986308753,0.871701199563795,70.0
4,10%_mix_up,0.8779618062959548,0.7708169333144556,81.5
5,10%_nn_no,0.965794775376303,0.9327595481441635,104.28571428571429
6,10%_rf_rand,0.8257228238447705,0.6818181818181819,105.0
7,10%_log_rand,0.9612774709437693,0.9240543761440492,125.125
8,10%_rf_no,0.4,0.16000000000000003,136.5
9,10%_log_no,0.8854358161127772,0.7839965844552998,142.5
10,10%_knn_no,0.8918267498772783,0.7953549517966695,151.66666666666666
11,10%_knn_rand,0.8360328208491659,0.6989508775370135,184.5
12,10%_log_up,0.908741974265271,0.8258119757915425,223.0
13,10%_mlp_no,0.8544053423079389,0.7300084889643461,254.0
14,10%_mlp_rand,0.9380155705814222,0.879873210653191,322.5
15,10%_rf_up,-0.4070574810518275,0.1656957928802589,372.5
16,10%_nn_up,0.8826498986560036,0.7790708435974535,375.9
17,10%_knn_up,0.7365507138703489,0.5425069541029205,380.42857142857144
18,10%_mlp_up,0.6883711406960633,0.4738548273431994,590.8
