,model_combo,r_score,r_squared,mean_squared
0,5%_mix_rand,0.918806462777756,0.844205316042172,13.166666666666666
1,5%_mix_up,0.8204079641806731,0.6730692276910766,14.75
2,5%_rf_up,0.8898630416749733,0.7918562329390353,15.6
3,5%_knn_no,0.8495887779217951,0.7218010915706493,17.5
4,5%_mlp_no,0.8173456603356178,0.6680539284694672,20.6
5,5%_log_up,0.9048756931400055,0.8188000200356054,32.166666666666664
6,5%_nn_no,0.8266679352204147,0.6833798751215837,32.6
7,5%_combined,0.8997251730886602,0.8095053870894195,34.8
8,5%_mix_no,0.9211771750181091,0.848567387774344,36.75
9,5%_log_rand,0.9345280571928762,0.8733426896806917,46.42857142857143
10,5%_rf_rand,0.8065432873794808,0.6505120744168997,57.0
11,5%_nn_rand,0.7016313419641226,0.4922865400263755,63.833333333333336
12,5%_knn_rand,0.6352290885143785,0.40351599489480816,71.83333333333333
13,5%_rf_no,-0.6698164210336598,0.448654037886341,91.0
14,5%_nn_up,0.4345825223882555,0.1888619687653386,101.0
15,5%_log_no,0.9029815364737975,0.8153756552125802,113.0
16,5%_mlp_up,0.3943176676463638,0.1554864230180682,114.0
17,5%_knn_up,0.40500286146867126,0.1640273177978117,142.57142857142858
18,5%_mlp_rand,0.3264099477815427,0.10654345401074942,225.5
