,blue_name,red_name,win_pred,win_method,actual_winner,actual_method,red_total_pct,blue_total_pct,red_dec_pct,red_ko_pct,red_sub_pct,blue_dec_pct,blue_ko_pct,blue_sub_pct,event,fight_id,model_v
0,Ciryl Gane,Francis Ngannou,blue,blue - KO/TKO,red,red - Decision,0.47,0.53,0.2,0.27,0.0,0.2,0.33,0.0,UFC 270: Ngannou vs. Gane,Francis Ngannou vs. Ciryl Gane: UFC 270: Ngannou vs. Gane,knn_no
1,Deiveson Figueiredo,Brandon Moreno,red,red - Decision,blue,blue - Decision,0.6,0.4,0.27,0.27,0.07,0.13,0.13,0.13,UFC 270: Ngannou vs. Gane,Brandon Moreno vs. Deiveson Figueiredo: UFC 270: Ngannou vs. Gane,knn_no
2,Said Nurmagomedov,Cody Stamann,red,red - Decision,blue,blue - Submission,0.67,0.33,0.47,0.2,0.0,0.27,0.07,0.0,UFC 270: Ngannou vs. Gane,Cody Stamann vs. Said Nurmagomedov: UFC 270: Ngannou vs. Gane,knn_no
3,Victor Henry,Raoni Barcelos,red,red - KO/TKO,blue,blue - Decision,0.87,0.13,0.33,0.53,0.0,0.07,0.07,0.0,UFC 270: Ngannou vs. Gane,Raoni Barcelos vs. Victor Henry: UFC 270: Ngannou vs. Gane,knn_no
4,Trevin Giles,Michael Morales,blue,blue - Decision,red,red - KO/TKO,0.47,0.53,0.27,0.13,0.07,0.33,0.13,0.07,UFC 270: Ngannou vs. Gane,Michael Morales vs. Trevin Giles: UFC 270: Ngannou vs. Gane,knn_no
5,Saimon Oliveira,Tony Gravely,red,red - Decision,red,red - Decision,0.53,0.47,0.33,0.07,0.13,0.27,0.2,0.0,UFC 270: Ngannou vs. Gane,Tony Gravely vs. Saimon Oliveira: UFC 270: Ngannou vs. Gane,knn_no
6,Vanessa Demopoulos,Silvana Gomez Juarez,red,red - Decision,blue,blue - Submission,0.53,0.47,0.4,0.13,0.0,0.27,0.13,0.07,UFC 270: Ngannou vs. Gane,Silvana Gomez Juarez vs. Vanessa Demopoulos: UFC 270: Ngannou vs. Gane,knn_no
7,Jasmine Jasudavicius,Kay Hansen,red,blue - Decision,blue,blue - Decision,0.6,0.4,0.33,0.07,0.2,0.33,0.0,0.07,UFC 270: Ngannou vs. Gane,Kay Hansen vs. Jasmine Jasudavicius: UFC 270: Ngannou vs. Gane,knn_no
8,Ciryl Gane,Francis Ngannou,blue,blue - Decision,red,red - Decision,0.38,0.62,0.1,0.24,0.05,0.38,0.14,0.1,UFC 270: Ngannou vs. Gane,Francis Ngannou vs. Ciryl Gane: UFC 270: Ngannou vs. Gane,knn_rand
9,Deiveson Figueiredo,Brandon Moreno,red,red - Decision,blue,blue - Decision,0.62,0.38,0.38,0.14,0.1,0.1,0.14,0.14,UFC 270: Ngannou vs. Gane,Brandon Moreno vs. Deiveson Figueiredo: UFC 270: Ngannou vs. Gane,knn_rand
